name,neighborhood,url_slug,res_id,rating
ViceVersa,Hell's Kitchen,viceversa,1578,4.73776908023483
The Wren,Bowery,the-wren,1581,4.46581196581197
The Musket Room,Soho,the-musket-room,3630,4.47560975609756
Sakagura East Village,East Village,sakagura-east-village,3631,4.23076923076923
Tsurutontan Union Square,Union Square,tsurutontan,560,4.53660886319846
Avant Garden,East Village,avant-garden,561,4.76377328577091
Savor Por Favor,East Village,savor-por-favor,3635,3.94736842105263
Raclette,East Village,raclette,1589,4.60848085631947
Mother of Pearl,East Village,mother-of-pearl,566,4.50842945874002
Nur,Flatiron,nur,777,4.60896874087058
Cienfuegos,East Village,cienfuegos,568,4.50765606595995
Llama Inn,Williamsburg,llama-inn,571,4.74043392504931
Dudley's,Lower East Side,dudleys,3646,4.38888888888889
Osteria 57,Greenwich Village,osteria-57,1601,4.40819672131148
Villanelle,Union Square,villanelle,2628,4.6497461928934
MIMI,Greenwich Village,mimi,581,4.6218011330338
Bar San Miguel,Carroll Gardens,bar-san-miguel,582,4.55555555555556
Raviolo,Greenwich Village,raviolo,1608,4.0825
Bacari Grill,Township of Washington,bacari-grill,3658,4.625
ATOBOY,Nomad Area,atoboy,587,4.70878227281968
Faun,Prospect Heights,faun,591,4.54980842911877
Celestine,Dumbo,celestine-restaurant,1616,4.61164179104478
Bessou,Noho,bessou,594,4.56637490882567
LaRina Pastificio & Vino,Fort Greene,larina,611,4.68161434977578
Claro,Gowanus,claro,1621,4.61752380952381
Nare Sushi,Midtown East,nare-sushi,1636,4.05263157894737
Crispo,Chelsea,crispo,3676,4.7578947368421
Landmark Americana,Mercer County,landmark-americana,3679,4.8
Kings Co Imperial - Williamsburg,Williamsburg,kings-co-imperial,608,4.82080735149327
I Sodi,West Village,i-sodi,443,4.81875607385811
Barano,South Williamsburg,barano,612,4.61633182112767
Subject,Lower East Side,subject,1657,4.4
Anella,Greenpoint,anella,3688,4.76923076923077
Tang Hotpot,Lower East Side,tang_hotpot,1641,4.23845327604726
Ladybird,East Village,ladybird,618,4.46912955465587
Morso Restaurant,Sutton Place,morso-restaurant,3691,4.48936170212766
The Good Fork,Red Hook,the-good-fork,621,4.70279424216765
Simon & The Whale,Gramercy,simon-and-the-whale,1981,4.62934690415606
Nouveau Monde,Sandy Hook,nouveau-monde,3696,4.0
Vu Restaurant and Lounge,The Waterfront,vu-restaurant-and-lounge,2665,4.28571428571429
Il Valentino,Midtown East,il-valentino,2681,3.23076923076923
Kiwiana,Park Slope,kiwiana,3706,
Luna Restaurant & Bar,Historic Downtown,luna-restaurant-and-bar,2495,4.51923076923077
Au Za'atar,East Village,au-zaatar,3708,4.45283018867925
Tacombi-NoLita,NoLita,tacombi-nolita,637,4.63347457627119
LIC Market,Long Island City,lic-market,3712,4.83333333333333
El Almacén,Williamsburg,el-almacen,644,4.65633802816901
The Meatball Shop - Upper East Side,Upper East Side,the-meatball-shop-upper-east-side,790,4.0
GLORIA,Hells Kitchen,gloria,1670,4.52619047619048
Marlow Bistro,Upper West Side,marlow-bistro,1671,4.50406504065041
Papilles,East Village,papilles,2696,4.86096256684492
Frankies Spuntino,Carroll Gardens,frankies-spuntino,650,4.0
Walter's,Fort Greene,walters,653,4.67676767676768
BBar and Grill,East Village,bbar-and-grill,654,4.49683544303798
Mayfield,Crown Heights,mayfield,2238,4.58638743455497
Tequila Mockingbird New Canaan,New Canaan,tequila-mockingbird,1681,4.69642857142857
Lil' Gem,Lower East Side,lil-gem,1682,4.44838709677419
Tacombi - Empire State Building,Midtown East,tacombi-empire-state-building,1690,4.43478260869565
HWA YUAN SZECHUAN,Chinatown,hwa-yuan-szechuan,1693,4.40568720379147
The NoMad Bar,NoMad,the-nomad-bar,1695,4.0
Vinateria,Harlem,vinateria,1696,4.65654205607477
Bâtard,TriBeCa,batard,624,4.54712643678161
Dinosaur Bar-B-Que - Harlem,Harlem,dinosaur-bar-b-que-harlem-fly,3746,4.0
Il Buco,East Village,il-buco,675,4.68508040500298
Emmy Squared East Village,East Village,emmy-squared-east-village,2724,4.53825136612022
Benoit New York,Theater District,benoit-new-york,3014,
Seamore's CHELSEA,Chelsea,seamores-chelsea,1702,4.44769230769231
Loring Place,Greenwich Village,loring-place,679,4.74837942955921
Stout NYC ~ Flagship,Midtown,stout-nyc-flagship,1704,4.33333333333333
Walter Foods,Williamsburg,walter-foods,682,4.71804511278195
Misi,Williamsburg,misi,3015,4.68151147098516
Adelina's,Greenpoint,adelinas,1416,4.68725868725869
Stout NYC - FiDi,Financial District,stout-nyc-fidi,1710,4.33333333333333
Unico,Four Corners,unico,3760,4.59090909090909
The Dessert Bar,Flatiron,the-dessert-bar,1714,4.82242990654206
Follia,Union Square,la-follia,691,4.51998026640355
Kahlo,Hudson Yards,kahlo,2740,4.42647058823529
Mokum,Upper West Side,mokum,3765,5.0
Coco Pazzo,SoHo,cocopazzo,1720,4.58087487283825
1 OR 8,Williamsburg,1-or-8,1722,4.63575042158516
Bazar Tapas,Chelsea,bazar-nomad,3772,5.0
Kubeh,West Village,kubeh,1994,4.53274139844617
Cafe Sabarsky,Upper East Side,cafe-sabarsky,2752,4.64179104477612
Casa Neta,Flatiron,casa-neta,706,3.94908180300501
Traif,Williamsburg,traif,707,4.72369477911647
Bryant Park Grill,Midtown,bryant-park-grill,1732,4.44444444444444
Dino & Harry's Steakhouse,Hoboken,dino-and-harrys-steakhouse,3782,5.0
Birravino,Red Bank,birravino,2337,4.74536256323777
Bin 14 Trattoria & Wine Bar,Hoboken,bin-14-trattoria-and-wine-bar,2274,4.63253012048193
St. Moritz Grill & Bar,Lake Mohawk,st-moritz-grill-and-bar,3788,
Houston's Bergen County,Hackensack,houstons-bergen-county,717,4.78450296429064
Macchina,Kips Bay,macchina,2768,4.25
Socarrat Paella Bar - Midtown East,Midtown East,socarrat-paella-bar-midtown-east,3794,5.0
Socarrat Paella Bar - Chelsea,Chelsea,socarrat-paella-bar-chelsea,3795,5.0
Momofuku Noodle Bar Columbus Circle,Columbus Circle,noodle-bar-columbus-circle,3796,4.0
Rosie's,East Village,rosies,725,4.61225858369099
MOSA,Little Italy,mosa,3705,4.88372093023256
HENRY at Life Hotel,Nomad,henry-at-life-hotel,3808,4.28571428571429
DVine Pie,Piermont,dvine-pie,3809,5.0
Scampi,Flatiron,scampi,1913,4.39566395663957
French Louie,Boerum Hill,french-louie,2018,4.68322580645161
The Kitchen Table at The Modern,Midtown,the-modern,2789,4.85148514851485
Vic's,NoHo,vics,2790,4.68819599109131
The Hive,Williamsburg,the-hive,3816,3.94117647058824
Davelle,Lower East Side,davelle,2793,4.5702479338843
L'Appart,Battery Park City,l-appart,1770,4.85402684563758
Bo's Kitchen and Bar Room,Flatiron,bos-kitchen-and-bar-room,2343,4.16161616161616
Imani,Clinton Hill,imani,2514,4.38738738738739
Chesapeake Tavern,Washington Township,chesapeake-tavern,2798,4.69672131147541
Manhatta,Lower Manhattan,manhatta,2801,4.73231827111984
Sunday in Brooklyn,Williamsburg,sundays-in-brooklyn,756,4.65873540427407
Boutros,Cobble Hill,boutros,761,4.5257328990228
Klein’s at The Hoxton,Williamsburg,kleins,2812,4.39336492890995
Sal Anthony's Restaurant,Gramercy,sal-anthonys-restaurant,3837,4.33333333333333
Via45,Redbank,via45,2814,4.81651376146789
Tacombi-Bleecker,West Village,tacombi-bleecker,640,4.62974358974359
Infamous Chicken,Upper West Side,infamous-chicken,2818,4.17142857142857
The Freckled Moose,Astoria,the-freckled-moose,3843,
Faro,Bushwick,faro,772,4.67343240304458
Randolph Beer - DUMBO,Dumbo,randolph-beer-dumbo,1797,4.35135135135135
The Meatball Shop - Chelsea,Chelsea,the-meatball-shop-chelsea,774,4.0
METHOD Japanese Kitchen and Sake Bar,Hell's Kitchen,method-japanese-kitchen-and-sake-bar,1800,4.590799031477
Building On Bond,Boerum Hill,building-on-bond,2825,4.09259259259259
YVES,TriBeCa,yves,785,4.55424063116371
The Meatball Shop - Lower East Side,Lower East Side,the-meatball-shop-lower-east-side,787,4.0
The Meatball Shop - Williamsburg,Williamsburg,the-meatball-shop-williamsburg,788,4.0
The Meatball Shop - West Village,West Village,the-meatball-shop-west-village,789,4.0
The Blue Box Cafe™ at Tiffany,Midtown,blue-box-cafe,1814,4.53757062146893
Porsena,East Village,porsena,792,4.41004184100418
Le Garage,Bushwick,le-garage,1817,4.63598326359833
The Windlass,Lake Hopatcong,the-windlass,2089,4.59322033898305
Eastend,Greenwich,eastend,1826,4.63502109704641
Pinch Chinese,SoHo,pinch-chinese,987,4.51629410180447
Empire Diner,Chelsea,empire-diner,1829,4.43172413793103
Cafeteria,Chelsea,cafeteria,1830,4.29482071713147
